STEP 0; EVENT position; UNIT rover-1; POSITION [12,13]
STEP 47; EVENT position; UNIT rover-1; POSITION [2,22]
STEP 48; EVENT position; UNIT rover-1; POSITION [1,22]
STEP 49; EVENT position; UNIT rover-1; POSITION [2,21]
STEP 50; EVENT position; UNIT rover-1; POSITION [1,20]
STEP 51; EVENT position; UNIT rover-1; POSITION [0,19]
STEP 52; EVENT position; UNIT rover-1; POSITION [0,20]
STEP 53; EVENT position; UNIT rover-1; POSITION [1,21]
STEP 54; EVENT position; UNIT rover-1; POSITION [0,22]
STEP 55; EVENT position; UNIT rover-1; POSITION [1,21]
STEP 56; EVENT position; UNIT rover-1; POSITION [2,21]
STEP 57; EVENT position; UNIT rover-1; POSITION [1,21]
STEP 58; EVENT position; UNIT rover-1; POSITION [1,20]
STEP 59; EVENT position; UNIT rover-1; POSITION [2,19]
STEP 60; EVENT position; UNIT rover-1; POSITION [2,20]
STEP 61; EVENT position; UNIT rover-1; POSITION [2,21]
STEP 62; EVENT position; UNIT rover-1; POSITION [3,20]
STEP 63; EVENT position; UNIT rover-1; POSITION [4,21]
STEP 64; EVENT position; UNIT rover-1; POSITION [4,22]
STEP 65; EVENT position; UNIT rover-1; POSITION [3,23]
STEP 66; EVENT position; UNIT rover-1; POSITION [3,22]
STEP 67; EVENT position; UNIT rover-1; POSITION [3,21]
STEP 68; EVENT position; UNIT rover-1; POSITION [4,20]
STEP 69; EVENT position; UNIT rover-1; POSITION [5,19]
STEP 70; EVENT position; UNIT rover-1; POSITION [6,19]
STEP 71; EVENT position; UNIT rover-1; POSITION [5,19]
STEP 72; EVENT position; UNIT rover-1; POSITION [5,18]
STEP 73; EVENT position; UNIT rover-1; POSITION [6,19]
STEP 74; EVENT position; UNIT rover-1; POSITION [6,20]
STEP 75; EVENT position; UNIT rover-1; POSITION [7,21]
STEP 76; EVENT position; UNIT rover-1; POSITION [6,20]
STEP 77; EVENT position; UNIT rover-1; POSITION [6,21]
STEP 78; EVENT position; UNIT rover-1; POSITION [7,22]
STEP 79; EVENT position; UNIT rover-1; POSITION [6,23]
STEP 80; EVENT position; UNIT rover-1; POSITION [7,22]
STEP 81; EVENT position; UNIT rover-1; POSITION [7,23]
STEP 82; EVENT position; UNIT rover-1; POSITION [8,22]
STEP 83; EVENT position; UNIT rover-1; POSITION [9,21]
STEP 84; EVENT position; UNIT rover-1; POSITION [8,21]
STEP 85; EVENT position; UNIT rover-1; POSITION [7,20]
STEP 86; EVENT position; UNIT rover-1; POSITION [8,19]
STEP 87; EVENT position; UNIT rover-1; POSITION [7,18]
STEP 88; EVENT position; UNIT rover-1; POSITION [6,18]
STEP 89; EVENT position; UNIT rover-1; POSITION [6,19]
STEP 90; EVENT position; UNIT rover-1; POSITION [7,18]
STEP 91; EVENT position; UNIT rover-1; POSITION [6,17]
STEP 92; EVENT position; UNIT rover-1; POSITION [6,18]
STEP 93; EVENT position; UNIT rover-1; POSITION [5,19]
STEP 94; EVENT position; UNIT rover-1; POSITION [6,18]
STEP 95; EVENT position; UNIT rover-1; POSITION [5,19]
STEP 96; EVENT position; UNIT rover-1; POSITION [5,18]
STEP 97; EVENT position; UNIT rover-1; POSITION [5,19]
STEP 98; EVENT position; UNIT rover-1; POSITION [4,18]
STEP 99; EVENT position; UNIT rover-1; POSITION [3,18]
STEP 100; EVENT position; UNIT rover-1; POSITION [2,18]
STEP 101; EVENT position; UNIT rover-1; POSITION [11,11]
STEP 101; EVENT outcome; OUTCOME TIMEOUT
